2026-03-12 16:06:34.813 [main] INFO  com.yizhaoqi.smartpai.SmartPaiApplication - Starting SmartPaiApplication using Java 17.0.16 with PID 29580 (E:\Java\PROJECT\PaiSmart-main\PaiSmart-zuzhi\target\classes started by admin in E:\Java\PROJECT\PaiSmart-main)
2026-03-12 16:14:49.559 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:14:49.566 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:14:49.570 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:11ms]
2026-03-12 16:14:49.910 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:14:49.920 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:14:49.923 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:14ms]
2026-03-12 16:14:50.387 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/conversation
2026-03-12 16:14:50.390 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 开始查询用户对话历史
2026-03-12 16:14:50.405 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 尝试查找Redis键: user:1:current_conversation, 结果: 未找到
2026-03-12 16:14:50.406 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 找到对话会话ID: a6b6159d-9814-46c3-a2cc-d19c62a923f5
2026-03-12 16:14:50.412 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 解析起始时间: 2026-03-05 -> 2026-03-05T00:00
2026-03-12 16:14:50.412 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 解析结束时间: 2026-03-13 -> 2026-03-13T00:00
2026-03-12 16:14:50.413 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 从Redis中获取到 6 条对话记录，过滤后剩余 6 条，会话ID: a6b6159d-9814-46c3-a2cc-d19c62a923f5
2026-03-12 16:14:50.413 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_CONVERSATIONS] [资源:conversation_history] [结果:SUCCESS]
2026-03-12 16:14:50.416 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/conversation [用户:1] [状态:200] [耗时:30ms]
2026-03-12 16:14:50.668 [http-nio-8081-exec-5] INFO  c.yizhaoqi.smartpai.handler.ChatWebSocketHandler - WebSocket连接已建立，用户ID: admin，会话ID: 61d8ecf0-39c8-db64-4cb4-5e18af9d1740，URI路径: /chat/eyJhbGciOiJIUzI1NiJ9.eyJwcmltYXJ5T3JnIjoiZGVmYXVsdCIsIm9yZ1RhZ3MiOiJkZWZhdWx0LGFkbWluIiwicm9sZSI6IkFETUlOIiwidG9rZW5JZCI6IjM4NTg5ZGVkNGU5ODQ5ZWU4YTAwODY2MzdjMDczYzNiIiwidXNlcklkIjoiMSIsInN1YiI6ImFkbWluIiwiZXhwIjoxNzczMzA2ODg5fQ.MmshfCxWf9_WIpvx7H9U4cJacMrxWOgkn7-WvoVd0rU
2026-03-12 16:14:52.062 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:14:52.067 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:14:52.071 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:10ms]
2026-03-12 16:14:52.445 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/conversation
2026-03-12 16:14:52.445 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/users/list
2026-03-12 16:14:52.453 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [ADMIN_GET_ALL_CONVERSATIONS] [用户:admin] 管理员开始查询对话历史，目标用户ID: 1, 时间范围: 2026-03-05 到 2026-03-13
2026-03-12 16:14:52.473 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [ADMIN_GET_ALL_CONVERSATIONS] [用户:admin] 找到目标用户: ID=1, 用户名=admin
2026-03-12 16:14:52.481 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [ADMIN_GET_ALL_CONVERSATIONS] [用户:admin] 管理员查询完成，共获取到 6 条对话记录
2026-03-12 16:14:52.481 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:ADMIN_GET_ALL_CONVERSATIONS] [资源:conversation_history] [结果:SUCCESS]
2026-03-12 16:14:52.484 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/conversation [用户:1] [状态:200] [耗时:39ms]
2026-03-12 16:14:52.491 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/users/list [用户:1] [状态:200] [耗时:45ms]
2026-03-12 16:14:52.818 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:14:52.825 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:14:52.829 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:12ms]
2026-03-12 16:14:53.561 [http-nio-8081-exec-10] INFO  c.y.smartpai.config.OrgTagAuthorizationFilter - 处理获取用户文档请求: /api/v1/documents/uploads
2026-03-12 16:14:53.566 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/documents/uploads
2026-03-12 16:14:53.568 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.business - [GET_USER_UPLOADED_FILES] [用户:1] 接收到获取用户上传文件请求
2026-03-12 16:14:53.568 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.service.DocumentService - 获取用户上传的文件列表: userId=1
2026-03-12 16:14:53.577 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.service.DocumentService - 成功获取用户上传的文件列表: userId=1, fileCount=1
2026-03-12 16:14:53.584 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:1] [操作:GET_USER_UPLOADED_FILES] [资源:file_list] [结果:SUCCESS]
2026-03-12 16:14:53.584 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.business - [GET_USER_UPLOADED_FILES] [用户:1] 成功获取用户上传文件: fileCount=1
2026-03-12 16:14:53.588 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/documents/uploads [用户:1] [状态:200] [耗时:21ms]
2026-03-12 16:14:54.306 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:14:54.310 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:14:54.313 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:6ms]
2026-03-12 16:14:54.722 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/org-tags/tree
2026-03-12 16:14:54.739 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/org-tags/tree [用户:1] [状态:200] [耗时:18ms]
2026-03-12 16:18:49.369 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:18:49.374 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:18:49.376 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:7ms]
2026-03-12 16:18:49.850 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/users/list
2026-03-12 16:18:49.850 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/org-tags/tree
2026-03-12 16:18:49.865 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/org-tags/tree [用户:1] [状态:200] [耗时:16ms]
2026-03-12 16:18:49.874 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/users/list [用户:1] [状态:200] [耗时:25ms]
2026-03-12 16:18:49.890 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/users/list
2026-03-12 16:18:49.907 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/users/list [用户:1] [状态:200] [耗时:17ms]
2026-03-12 16:18:50.263 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:18:50.266 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:18:50.270 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:5ms]
2026-03-12 16:18:50.594 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/org-tags/tree
2026-03-12 16:18:50.612 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/org-tags/tree [用户:1] [状态:200] [耗时:17ms]
2026-03-12 16:18:56.311 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:18:56.314 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:18:56.318 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:5ms]
2026-03-12 16:18:56.938 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/users/list
2026-03-12 16:18:56.938 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/org-tags/tree
2026-03-12 16:18:56.956 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/org-tags/tree [用户:1] [状态:200] [耗时:19ms]
2026-03-12 16:18:56.960 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/users/list [用户:1] [状态:200] [耗时:25ms]
2026-03-12 16:18:57.199 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/users/list
2026-03-12 16:18:57.221 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/users/list [用户:1] [状态:200] [耗时:21ms]
2026-03-12 16:18:57.281 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:18:57.285 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:18:57.288 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:6ms]
2026-03-12 16:18:57.884 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/org-tags
2026-03-12 16:18:57.893 [http-nio-8081-exec-5] DEBUG com.yizhaoqi.smartpai.service.OrgTagCacheService - Cached organization tags for user: admin
2026-03-12 16:18:57.896 [http-nio-8081-exec-5] DEBUG com.yizhaoqi.smartpai.service.OrgTagCacheService - Cached primary organization for user: admin
2026-03-12 16:18:57.899 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_ORG_TAGS] [资源:organization_tags] [结果:SUCCESS]
2026-03-12 16:18:57.902 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/org-tags [用户:1] [状态:200] [耗时:18ms]
2026-03-12 16:19:10.110 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [PUT] /api/v1/users/primary-org
2026-03-12 16:19:10.146 [http-nio-8081-exec-4] DEBUG com.yizhaoqi.smartpai.service.OrgTagCacheService - Cached primary organization for user: admin
2026-03-12 16:19:10.147 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:SET_PRIMARY_ORG] [资源:admin] [结果:SUCCESS]
2026-03-12 16:19:10.149 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [API] [PUT] /api/v1/users/primary-org [用户:1] [状态:200] [耗时:39ms]
2026-03-12 16:19:10.177 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/org-tags
2026-03-12 16:19:10.196 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_ORG_TAGS] [资源:organization_tags] [结果:SUCCESS]
2026-03-12 16:19:10.198 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/org-tags [用户:1] [状态:200] [耗时:21ms]
2026-03-12 16:19:11.763 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:19:11.766 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:19:11.770 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:7ms]
2026-03-12 16:19:12.003 [http-nio-8081-exec-3] INFO  c.y.smartpai.config.OrgTagAuthorizationFilter - 处理获取用户文档请求: /api/v1/documents/uploads
2026-03-12 16:19:12.005 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/documents/uploads
2026-03-12 16:19:12.006 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.business - [GET_USER_UPLOADED_FILES] [用户:1] 接收到获取用户上传文件请求
2026-03-12 16:19:12.006 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.service.DocumentService - 获取用户上传的文件列表: userId=1
2026-03-12 16:19:12.011 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.service.DocumentService - 成功获取用户上传的文件列表: userId=1, fileCount=1
2026-03-12 16:19:12.015 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:1] [操作:GET_USER_UPLOADED_FILES] [资源:file_list] [结果:SUCCESS]
2026-03-12 16:19:12.015 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.business - [GET_USER_UPLOADED_FILES] [用户:1] 成功获取用户上传文件: fileCount=1
2026-03-12 16:19:12.018 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/documents/uploads [用户:1] [状态:200] [耗时:12ms]
2026-03-12 16:19:20.437 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:19:20.444 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:19:20.446 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:9ms]
2026-03-12 16:19:21.048 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/conversation
2026-03-12 16:19:21.048 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/users/list
2026-03-12 16:19:21.053 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [ADMIN_GET_ALL_CONVERSATIONS] [用户:admin] 管理员开始查询对话历史，目标用户ID: 1, 时间范围: 2026-03-05 到 2026-03-13
2026-03-12 16:19:21.057 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [ADMIN_GET_ALL_CONVERSATIONS] [用户:admin] 找到目标用户: ID=1, 用户名=admin
2026-03-12 16:19:21.060 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [ADMIN_GET_ALL_CONVERSATIONS] [用户:admin] 管理员查询完成，共获取到 6 条对话记录
2026-03-12 16:19:21.060 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:ADMIN_GET_ALL_CONVERSATIONS] [资源:conversation_history] [结果:SUCCESS]
2026-03-12 16:19:21.062 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/conversation [用户:1] [状态:200] [耗时:14ms]
2026-03-12 16:19:21.064 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/users/list [用户:1] [状态:200] [耗时:15ms]
2026-03-12 16:19:25.312 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:19:25.314 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:19:25.316 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:4ms]
2026-03-12 16:19:25.932 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/conversation
2026-03-12 16:19:25.933 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 开始查询用户对话历史
2026-03-12 16:19:25.938 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 尝试查找Redis键: user:1:current_conversation, 结果: 未找到
2026-03-12 16:19:25.939 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 找到对话会话ID: a6b6159d-9814-46c3-a2cc-d19c62a923f5
2026-03-12 16:19:25.940 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 解析起始时间: 2026-03-05 -> 2026-03-05T00:00
2026-03-12 16:19:25.940 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 解析结束时间: 2026-03-13 -> 2026-03-13T00:00
2026-03-12 16:19:25.941 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [GET_CONVERSATIONS] [用户:admin] 从Redis中获取到 6 条对话记录，过滤后剩余 6 条，会话ID: a6b6159d-9814-46c3-a2cc-d19c62a923f5
2026-03-12 16:19:25.941 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_CONVERSATIONS] [资源:conversation_history] [结果:SUCCESS]
2026-03-12 16:19:25.943 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/conversation [用户:1] [状态:200] [耗时:10ms]
2026-03-12 16:46:22.721 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:46:22.728 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
2026-03-12 16:46:22.731 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/users/me [用户:1] [状态:200] [耗时:9ms]
2026-03-12 16:46:22.966 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/conversation
2026-03-12 16:46:22.970 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [ADMIN_GET_ALL_CONVERSATIONS] [用户:admin] 管理员开始查询对话历史，目标用户ID: 1, 时间范围: 2026-03-05 到 2026-03-13
2026-03-12 16:46:22.976 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [ADMIN_GET_ALL_CONVERSATIONS] [用户:admin] 找到目标用户: ID=1, 用户名=admin
2026-03-12 16:46:22.980 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [ADMIN_GET_ALL_CONVERSATIONS] [用户:admin] 管理员查询完成，共获取到 6 条对话记录
2026-03-12 16:46:22.980 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:ADMIN_GET_ALL_CONVERSATIONS] [资源:conversation_history] [结果:SUCCESS]
2026-03-12 16:46:22.981 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.business - [API] [GET] /api/v1/admin/conversation [用户:1] [状态:200] [耗时:15ms]
2026-03-12 16:46:23.032 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/users/me
2026-03-12 16:46:23.033 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.business - [REQUEST_START] [用户:1] 开始处理请求 [GET] /api/v1/admin/users/list
2026-03-12 16:46:23.038 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.business - [用户操作] [用户:admin] [操作:GET_USER_INFO] [资源:user_profile] [结果:SUCCESS]
